Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PR,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.93,1,95.42,94.64,83.9,61.31,100,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,88.08,2,90.79,96.15,80.36,64.81,94.46,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.08,3,91,93.37,77.6,49.99,92.51,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.18,4,86.22,82.08,88.44,54.21,85.78,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.56,5,77.32,87.11,83.21,56.62,89.31,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.29,6,77.21,76.57,89.65,61.71,60.55,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,74.9,7,83.04,70.73,83.03,59.13,62.45,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.44,8,82.51,52.47,71.54,55.98,60.42,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,64.1,9,72.11,50.04,74.71,61.49,63.68,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.88,10,79.89,53.31,72.09,57.76,27.15,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0701,Indian Institute of Technology (BHU) Varanasi,Varanasi,Uttar Pradesh,62.54,11,72.34,47.77,77.77,56.07,53.49,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,62.06,12,64.02,63.12,72.11,55.07,39.78,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,61.3,13,68.93,46.03,78.67,55.24,55.59,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,59.89,14,64.62,54.07,61.5,51.62,68.24,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,59.32,15,56.79,64.06,63.07,58.21,46.29,19.084,28.626,19.084,28.626,33.124,37.856,14.196,9.464,33.56,12.585,20.975,16.78,18.393,18.393,12.262,12.262
