Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PR,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,90.04,1,94.62,97.66,80.42,62.85,100,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-I-1074,"Indian Institute of Technology, Delhi",New Delhi,Delhi,88.12,2,86.95,96,83.43,68.56,96.92,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0306,"Indian Institute of Technology, Bombay",Mumbai,Maharashtra,83.96,3,87.53,90.82,79.18,57.36,88.7,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.56,4,87.95,79.98,89.71,59.47,83.01,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0573,"Indian Institute of Technology, Kharagpur",Kharagpur,West Bengal,78.89,5,79.21,84.61,80.91,53.09,82.63,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0560,"Indian Institute of Technology, Roorkee",Roorkee,Uttarakhand,76.7,6,75.98,78.1,90.12,63.09,61.36,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,72.98,7,75.89,72.89,84.64,56.9,57.15,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0467,"National Institute of Technology, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,69.17,8,76.39,58.43,79.16,64.49,64.38,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,68.03,9,80.32,59.89,72.39,54.85,59.96,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",Surathkal,Karnataka,66.04,10,72.87,56.42,77.69,63.89,53.24,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0575,Jadavpur University,Kolkata,West Bengal,65.68,11,71.38,64.41,78.11,52.33,40.97,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,65.53,12,62.53,73.3,69.44,59.27,49.6,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,63.51,13,62.62,57.25,81.72,56.06,55.89,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,63.5,14,68.7,65.38,71.17,54.34,36.23,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,62.36,15,73.39,59.44,71.8,57.08,24.43,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,61.68,16,76.28,56.75,70.39,52.48,24.43,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0439,Anna University,Chennai,Tamil Nadu,61.41,17,64.33,64.59,57.8,48.88,62.83,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,61.4,18,76.45,56.99,69.53,54.58,19.95,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
IR-E-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,60.92,19,68.97,58.64,61.39,61.77,41.78,18.924,28.386,18.924,28.386,34.181,39.064,14.649,9.766,32.168,12.063,20.105,16.084,18.855,18.855,12.57,12.57
