Institute ID,Name,City,State,Score,Rank,TLR,RPC,GO,OI,PERCEPTION,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GMS,GPHD,RD,WD,ESCS,PCS
IR-E-U-0685,Indira Gandhi Delhi Technical University for Women,Delhi,Delhi,34.52,161,43.09,8.82,65.36,54.48,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-30153,"Silicon Institute of Technology (SIT), Bhubaneswar",Bhubaneswar,Odisha,34.46,163,55.5,3.07,54.5,59.17,0.74,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-37065,Kongu Engineering College,Perundurai,Tamil Nadu,34.38,164,57.61,8,46.3,43.96,10.45,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-19534,Goka Raju Ranga Raju Institute of Engineering & Technology,Hyderabad,Telangana,34.36,165,55.87,5.71,52.63,49.43,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0443,Annamalai University,Annamalainagar,Tamil Nadu,34.23,166,59.64,25.05,21.64,30.19,14.83,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0535,Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,34.18,167,58.91,7.14,49.49,42.47,2.17,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-1352,Nitte Meenakshi Institute of Technology,Bengaluru,Karnataka,34.14,168,57.43,4.88,50.31,51.73,2.17,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-6192,Institute of Engineering & Management,Kolkata,West Bengal,34.09,169,50.66,9.34,44.8,67.09,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-16614,R.M.K. Engineering College,Thiruvallur,Tamil Nadu,34.04,170,54.45,3.25,55.6,52.39,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-I-1093,Noida Institute of Engineering & Technology,Greater Noida,Uttar Pradesh,33.99,171,52.45,1.37,57.5,48.67,14.83,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-42227,Dr. D. Y. Patil Institute of Technology,Pune,Maharashtra,33.98,172,53.67,0.46,60.1,51.72,5.55,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0376,Guru Nanak Dev University,Amritsar,Punjab,33.98,172,24.31,32.53,56.36,46.22,10.45,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0454,Hindustan Institute of Technology and Science (HITS),Chennai,Tamil Nadu,33.98,172,48.41,17.65,44.02,46.84,6.83,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-37089,Sri Ramakrishna Engineering College,Coimbatore,Tamil Nadu,33.96,175,54.46,6.83,50.09,45.1,10.45,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-46111,KIET Group of Institutions,Ghaziabad,Uttar Pradesh,33.85,176,57.83,4.54,53.35,44.67,0,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0643,Galgotias University,Gautam Budh Nagar,Uttar Pradesh,33.79,177,54.08,8.46,49.47,49.18,2.17,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-18010,Velagapudi Ramakrishna Siddhartha Engineering College,Vijayawada,Andhra Pradesh,33.73,178,54.41,8.15,46.79,52.53,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0541,Sharda University,Greater Noida,Uttar Pradesh,33.64,179,52.08,10.44,41.15,54.55,12.15,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0854,KLE Technological University,Dharwad,Karnataka,33.58,180,54.63,6.75,50.42,48.01,2.87,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-36143,Shri G. S. Institute of Technology & Science,Indore,Madhya Pradesh,33.49,181,52.93,3.8,55.1,48.3,6.19,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0046,North Eastern Regional Institute of Science & Technology,Itanagar,Arunachal Pradesh,33.38,182,60.11,11.98,34.94,43.51,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-16537,St. Josephs College of Engineering,Kancheepuram,Tamil Nadu,33.36,183,51.5,10.67,50.71,45.66,0,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-36022,Lakshmi Narain College of Technology,Bhopal,Madhya Pradesh,33.23,184,51.79,1.86,57.61,55.45,0.74,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0353,Centurion University of Technology and Management,Paralakhemundi,Odisha,33.14,185,52.52,3.79,54.32,53.05,0.74,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-I-1356,Rabindranath Tagore University,Raisen,Madhya Pradesh,33.07,186,56.04,1.76,47.95,61.42,0,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0616,National Institute of Technology Uttarakhand,Srinagar (Garhwal),Uttarakhand,33.07,186,57.07,12.26,42.75,35.71,1.46,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-1412,JSS Science and Technology University,Mysuru,Karnataka,33.04,188,50.71,4.3,53.39,49.93,8.68,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-16560,Easwari Engineering College,Chennai,Tamil Nadu,32.75,189,51.44,2.41,56.66,48.49,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-I-1033,International Institute of Information Technology Bhubaneswar,Bhubaneswar,Odisha,32.73,190,42.3,12.58,54.47,49.64,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-27089,National Engineering College,Kovilpatti,Tamil Nadu,32.64,191,56.42,5.8,45.79,46.72,1.46,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-37028,Sona College of Technology,Salem,Tamil Nadu,32.61,192,53.68,4.16,49.5,48.67,4.9,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-1406,C M R Institute of Technology,Bengaluru,Karnataka,32.56,193,55.56,4.14,46.07,52.22,2.17,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-46239,G.L.Bajaj Institute of Technology and Management,Greater Noida,Uttar Pradesh,32.55,194,57.13,3.72,47.78,47.32,0,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0774,DIT University,Dehradun,Uttarakhand,32.53,195,50.14,7.09,48.53,55.03,1.46,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-1438,The National Institute of Engineering,Mysore,Karnataka,32.52,196,53.79,2.33,51.03,50.48,4.23,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-27400,Kakatiya Institute of Technology & Science,Warangal,Telangana,32.48,197,55.8,1.64,49.13,49.25,4.9,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-33584,K. J. Somaiya College of Engineering,Mumbai,Maharashtra,32.48,197,52.22,3.33,58.94,38.08,2.17,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-C-11015,Walchand College of Engineering,Sangli,Maharashtra,32.46,199,48.25,4.54,56.11,47.93,6.19,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
IR-E-U-0037,Sri Venkateswara University,Tirupati,Andhra Pradesh,32.42,200,41.76,25.59,37.58,43.31,3.56,11.876,17.814,11.876,17.814,5.4005,6.172,2.3145,1.543,21.696,8.136,13.56,10.848,14.868,14.868,9.912,9.912
